population,tier,case,p_m,defense_avoided,form,revenue_yr,energy_yr,fixed_yr,premium_yr,residual_el_yr,net_cession_yr,crossover_rent_yr,crossover_rate_tflops_hr,obs_over_crossover
enterprise,entry_1660_2060,case2_vm_nic,1e-05,100.0,uninsured,123.0,283.9,57.75,0.01,0.05,-118.7,241.7,0.00383,0.57
enterprise,entry_1660_2060,case2_vm_nic,0.001,0.0,insured,123.0,283.9,57.75,1.28,0.0,-219.9,342.9,0.00544,0.4
enterprise,entry_1660_2060,case2_vm_nic,0.001,0.0,uninsured,123.0,283.9,57.75,1.28,2.85,-221.5,344.5,0.00546,0.4
enterprise,entry_1660_2060,case2_vm_nic,0.001,100.0,insured,123.0,283.9,57.75,1.28,0.0,-119.9,242.9,0.00385,0.57
enterprise,entry_1660_2060,case2_vm_nic,0.001,100.0,uninsured,123.0,283.9,57.75,1.28,2.85,-121.5,244.5,0.00388,0.56
enterprise,entry_1660_2060,case2_vm_nic,0.01,0.0,insured,123.0,283.9,57.75,12.77,0.0,-231.4,354.4,0.00562,0.39
enterprise,entry_1660_2060,case2_vm_nic,0.01,0.0,uninsured,123.0,283.9,57.75,12.77,28.32,-247.0,370.0,0.00587,0.37
enterprise,entry_1660_2060,case2_vm_nic,0.01,100.0,insured,123.0,283.9,57.75,12.77,0.0,-131.4,254.4,0.00403,0.54
enterprise,entry_1660_2060,case2_vm_nic,0.01,100.0,uninsured,123.0,283.9,57.75,12.77,28.32,-147.0,270.0,0.00428,0.51
enterprise,entry_1660_2060,case3_hw_partition,1e-05,0.0,insured,123.0,283.9,17.95,0.0,0.0,-178.8,301.8,0.00479,0.46
enterprise,entry_1660_2060,case3_hw_partition,1e-05,0.0,uninsured,123.0,283.9,17.95,0.0,0.0,-178.8,301.8,0.00479,0.46
enterprise,entry_1660_2060,case3_hw_partition,1e-05,100.0,insured,123.0,283.9,17.95,0.0,0.0,-78.8,201.8,0.0032,0.68
enterprise,entry_1660_2060,case3_hw_partition,1e-05,100.0,uninsured,123.0,283.9,17.95,0.0,0.0,-78.8,201.8,0.0032,0.68
enterprise,entry_1660_2060,case3_hw_partition,0.001,0.0,insured,123.0,283.9,17.95,0.11,0.0,-178.9,301.9,0.00479,0.46
