seg,stratum,p3,p4,p3_frac_ai,p4_frac_ai,changed
nb_2025-10-23#t104w0,A-consensus-2025,Human,Human,0.0,0.0,0
nb_2025-10-24#t107w0,A4-speaker,Human,Mixed,0.0,0.7258567214012146,1
nb_2025-10-24#t112w0,A7-speech-llr,AI,AI,1.0,1.0,0
nb_2025-10-24#t119w0,A3-fused,AI,AI,1.0,1.0,0
nb_2025-10-24#t139w0,B-decile-9,Human,Human,0.0,0.0,0
nb_2025-10-24#t150w0,B-decile-5,Human,Human,0.0,0.0,0
nb_2025-10-24#t159w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-10-24#t162w0,A-consensus-2025,Mixed,AI,0.0,1.0,1
nb_2025-10-24#t175w2,B-decile-5,Human,Human,0.0,0.0,0
nb_2025-10-24#t175w3,A2-fastdetect-tail,Human,Human,0.0,0.0,0
nb_2025-10-24#t178w1,A2-fastdetect-tail,AI,AI,1.0,1.0,0
nb_2025-10-24#t189w4,B-decile-2,Human,Human,0.0,0.0,0
nb_2025-10-28#t197w0,B-decile-0,Human,Human,0.0,0.0,0
nb_2025-10-28#t213w0,A5-tail-union,Human,Mixed,0.0,0.24227799475193024,1
nb_2025-10-28#t231w0,A3-fused,Human,Human,0.0,0.0,0
nb_2025-10-28#t254w0,A-consensus-2025,Human,Human,0.0,0.0,0
nb_2025-10-28#t256w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-10-28#t262w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-10-28#t280w1,B-decile-4,Human,Human,0.0,0.0,0
nb_2025-10-28#t288w5,B-decile-0,Human,Human,0.0,0.0,0
nb_2025-10-29#t305w0,A2-fastdetect-tail,AI,AI,1.0,1.0,0
nb_2025-10-29#t313w0,A4-speaker,Human,Human,0.0,0.0,0
nb_2025-10-29#t325w0,B-decile-2,Human,Human,0.0,0.0,0
nb_2025-10-29#t326w0,A4-speaker,Human,Human,0.0,0.0,0
nb_2025-10-29#t327w0,B-decile-2,Human,Human,0.0,0.0,0
nb_2025-10-29#t337w0,A-consensus-2025,Human,Human,0.0,0.0,0
nb_2025-10-29#t349w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-10-29#t352w0,B-decile-8,Human,Human,0.0,0.0,0
nb_2025-10-29#t359w0,B-decile-6,Human,Human,0.0,0.0,0
nb_2025-10-29#t361w0,A3-fused,Human,Human,0.0,0.0,0
nb_2025-10-29#t371w0,B-decile-1,Human,Human,0.0,0.0,0
nb_2025-10-29#t377w1,B-decile-6,Human,Human,0.0,0.0,0
nb_2025-10-29#t397w2,B-decile-2,Human,Human,0.0,0.0,0
nb_2025-10-29#t400w7,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-10-30#t427w0,A2-fastdetect-tail,Mixed,AI,0.0,1.0,1
nb_2025-10-30#t430w0,A-consensus-2025,AI,AI,1.0,1.0,0
nb_2025-10-30#t482w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-10-30#t491w0,A3-fused,Human,Human,0.0,0.0,0
nb_2025-10-30#t495w1,B-decile-2,Human,Human,0.0,0.0,0
nb_2025-10-30#t509w4,A5-tail-union,AI,Mixed,1.0,0.7032192945480347,1
nb_2025-10-30#t511w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-10-30#t515w1,B-decile-3,Human,Human,0.0,0.0,0
nb_2025-10-30#t531w0,A2-fastdetect-tail,Human,Human,0.0,0.0,0
nb_2025-10-30#t534w3,B-decile-4,AI,Mixed,1.0,0.4134981036186218,1
nb_2025-11-04#t543w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-11-04#t546w0,A2-fastdetect-tail,Human,Human,0.0,0.0,0
nb_2025-11-04#t551w0,A3-fused,Human,Human,0.0,0.0,0
nb_2025-11-04#t559w0,A4-speaker,AI,AI,1.0,1.0,0
nb_2025-11-04#t565w0,B-decile-2,Human,Human,0.0,0.0,0
nb_2025-11-04#t575w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-11-05#t615w0,B-decile-6,Human,Human,0.0,0.0,0
nb_2025-11-05#t632w0,A5-tail-union,AI,AI,1.0,1.0,0
nb_2025-11-05#t646w0,B-decile-1,Human,Human,0.0,0.0,0
nb_2025-11-05#t660w0,B-decile-7,Human,Human,0.0,0.0,0
nb_2025-11-05#t663w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-11-05#t680w2,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-11-05#t686w0,A-consensus-2025,Human,Human,0.0,0.0,0
nb_2025-11-05#t687w2,A-consensus-2025,AI,Human,1.0,0.0,1
nb_2025-11-05#t690w1,B-decile-9,AI,AI,1.0,1.0,0
nb_2025-11-05#t696w0,A3-fused,Human,Human,0.0,0.0,0
nb_2025-11-05#t701w0,A-consensus-2025,Human,Human,0.0,0.0,0
nb_2025-11-05#t710w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-11-05#t715w2,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-11-06#t747w0,A4-speaker,Human,Human,0.0,0.0,0
nb_2025-11-06#t753w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-11-06#t756w0,B-decile-0,Human,Human,0.0,0.0,0
nb_2025-11-06#t766w0,B-decile-5,Human,Human,0.0,0.0,0
nb_2025-11-06#t783w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-11-06#t785w0,A-consensus-2025,Human,Human,0.0,0.0,0
nb_2025-11-06#t790w0,B-decile-5,Human,Human,0.0,0.0,0
nb_2025-11-06#t792w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-11-06#t803w1,A2-fastdetect-tail,AI,AI,1.0,1.0,0
