seg_id,date,speaker,section,n_words,orig_frac,n_tok,logppl,xppl,score
2025-10-21#t5w0,2025-10-21,Madam Speaker,Affordability and housing,315,0.238,405,2.79104,2.89307,0.96473
2025-10-21#t5w1,2025-10-21,Madam Speaker,Affordability and housing,256,0.164,324,2.54792,2.61744,0.97344
2025-10-21#t5w2,2025-10-21,Madam Speaker,Affordability and housing,333,0.066,432,3.31121,3.02759,1.09368
2025-10-21#t5w3,2025-10-21,Madam Speaker,Affordability and housing,326,0.313,411,2.68769,2.86177,0.93917
2025-10-21#t5w4,2025-10-21,Madam Speaker,Affordability and housing,350,0.0,471,2.74937,2.92279,0.94066
2025-10-21#t5w5,2025-10-21,Madam Speaker,Affordability and housing,341,0.22,430,3.02499,3.03893,0.99541
2025-10-21#t5w6,2025-10-21,Madam Speaker,Affordability and housing,264,0.125,321,2.9144,3.15988,0.92231
2025-10-21#t6w0,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",Affordability and housing,299,0.217,345,2.7028,2.93673,0.92034
2025-10-21#t6w1,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",Affordability and housing,329,0.231,414,2.71724,2.95352,0.92
2025-10-21#t6w2,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",Affordability and housing,321,0.0,388,2.92945,3.2091,0.91286
2025-10-21#t6w3,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",Affordability and housing,335,0.352,411,2.82813,2.9212,0.96814
2025-10-21#t6w4,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",Affordability and housing,272,0.044,322,3.15032,3.30288,0.95381
2025-10-21#t6w5,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",Affordability and housing,284,0.056,333,3.17087,3.24637,0.97674
2025-10-21#t6w6,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",Affordability and housing,145,0.324,191,2.71772,2.97638,0.9131
2025-10-21#t7w0,2025-10-21,,Affordability and housing,61,0.574,91,2.71775,3.18311,0.8538
2025-10-22#t8w0,2025-10-22,Hon. Ms. Thériault,Affordability and housing,178,0.0,261,3.30349,3.25663,1.01439
2025-10-22#t9w0,2025-10-22,Hon. Mr. Gauvin,Affordability and housing,212,0.0,296,3.29915,2.93702,1.1233
2025-10-22#t10w0,2025-10-22,Ms. Bockus,Affordability and housing,275,1.0,365,2.85918,2.60297,1.09843
2025-10-22#t11w0,2025-10-22,Mr. Coon,Affordability and housing,184,0.978,245,2.59275,2.88294,0.89934
2025-10-22#t12w0,2025-10-22,Mr. Doucet,Affordability and housing,153,0.0,204,3.42524,3.53702,0.9684
2025-10-22#t13w0,2025-10-22,Mr. Savoie,Affordability and housing,183,0.951,220,3.03955,2.81834,1.07849
2025-10-22#t14w0,2025-10-22,Ms. Mitton,Affordability and housing,132,1.0,173,2.39403,2.78668,0.8591
2025-10-22#t15w0,2025-10-22,Hon. Ms. Thériault,Affordability and housing,184,0.0,231,3.18781,3.31981,0.96024
2025-10-22#t16w0,2025-10-22,Mr. Savoie,Affordability and housing,131,1.0,159,3.0529,2.88985,1.05642
2025-10-22#t17w0,2025-10-22,Mr. Johnston,Affordability and housing,219,0.932,279,2.95946,2.85283,1.03738
2025-10-22#t18w0,2025-10-22,Mr. Russell,Affordability and housing,144,1.0,167,2.33684,2.91406,0.80192
2025-10-22#t19w0,2025-10-22,Mr. Coon,Affordability and housing,166,0.976,193,2.99263,3.13146,0.95567
2025-10-22#t20w0,2025-10-22,Ms. Sodhi,Affordability and housing,164,1.0,198,2.74129,2.82122,0.97167
2025-10-22#t21w0,2025-10-22,Mr. Oliver,Affordability and housing,135,0.97,166,3.43387,3.42997,1.00114
2025-10-22#t22w0,2025-10-22,Mr. Arseneault,Affordability and housing,146,0.596,191,2.26434,2.81432,0.80458
2025-10-22#t23w0,2025-10-22,Ms. Scott-Wallace,Affordability and housing,129,1.0,155,3.75412,3.36354,1.11612
2025-10-22#t24w0,2025-10-22,Mr. Doucet,Affordability and housing,99,0.0,126,3.26736,3.17578,1.02884
