seg_id,date,speaker,n_words,orig_frac,p_ai
2025-10-22#t101w7,2025-10-22,Hon. Mr. Legacy,346,1.0,0.000219
2025-10-22#t101w8,2025-10-22,Hon. Mr. Legacy,357,1.0,0.004045
2025-10-22#t102w0,2025-10-22,Mr. M. LeBlanc,283,0.636,0.00017
2025-10-22#t102w1,2025-10-22,Mr. M. LeBlanc,343,1.0,0.609237
2025-10-22#t102w2,2025-10-22,Mr. M. LeBlanc,322,0.311,0.000357
2025-10-22#t102w3,2025-10-22,Mr. M. LeBlanc,335,0.531,0.000451
2025-10-22#t102w4,2025-10-22,Mr. M. LeBlanc,264,1.0,0.000172
2025-10-22#t102w5,2025-10-22,Mr. M. LeBlanc,357,0.734,0.00017
2025-10-22#t102w6,2025-10-22,Mr. M. LeBlanc,348,1.0,0.00017
2025-10-22#t102w7,2025-10-22,Mr. M. LeBlanc,348,1.0,0.000179
2025-10-22#t102w8,2025-10-22,Mr. M. LeBlanc,360,0.339,0.000247
2025-10-22#t102w9,2025-10-22,Mr. M. LeBlanc,326,0.54,0.000276
2025-10-22#t102w10,2025-10-22,Mr. M. LeBlanc,348,0.546,0.000169
2025-10-22#t102w11,2025-10-22,Mr. M. LeBlanc,333,0.859,0.00018
2025-10-22#t102w12,2025-10-22,Mr. M. LeBlanc,324,0.0,0.114157
2025-10-22#t102w13,2025-10-22,Mr. M. LeBlanc,259,1.0,0.000243
2025-10-22#t102w14,2025-10-22,Mr. M. LeBlanc,355,0.645,0.000356
2025-10-22#t102w15,2025-10-22,Mr. M. LeBlanc,327,0.63,0.000176
2025-10-22#t102w16,2025-10-22,Mr. M. LeBlanc,311,0.685,0.00018
2025-10-22#t102w17,2025-10-22,Mr. M. LeBlanc,335,0.734,0.004732
2025-10-22#t102w18,2025-10-22,Mr. M. LeBlanc,298,1.0,0.00017
2025-10-23#t104w0,2025-10-23,Madam Speaker,100,0.77,0.266976
2025-10-24#t105w0,2025-10-24,Mr. Monahan,62,1.0,0.115571
2025-10-24#t106w0,2025-10-24,Madam Speaker,177,0.548,0.003568
2025-10-24#t107w0,2025-10-24,Mr. Robichaud,167,0.0,0.779119
2025-10-24#t108w0,2025-10-24,Mr. Ames,239,1.0,0.008917
2025-10-24#t109w0,2025-10-24,Mr. Monahan,172,1.0,0.000177
2025-10-24#t110w0,2025-10-24,Ms. M. Wilson,160,1.0,0.000191
