seg_id,date,speaker,section,n_words,orig_frac,n_tok,logppl,xppl,score
2025-10-21#t5w5,2025-10-21,Madam Speaker,Affordability and housing,341,0.22,430,2.67561,2.58092,1.03669
2025-10-21#t5w6,2025-10-21,Madam Speaker,Affordability and housing,264,0.125,323,2.45919,2.63052,0.93487
2025-10-21#t6w0,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",Affordability and housing,299,0.217,348,2.39153,2.39567,0.99827
2025-10-21#t6w1,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",Affordability and housing,329,0.231,424,2.37278,2.44542,0.97029
2025-10-21#t6w2,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",Affordability and housing,321,0.0,382,2.65434,2.73325,0.97113
2025-10-21#t6w3,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",Affordability and housing,335,0.352,405,2.58276,2.65966,0.97108
2025-10-21#t6w4,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",Affordability and housing,272,0.044,319,2.82651,2.88431,0.97996
2025-10-21#t6w5,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",Affordability and housing,284,0.056,339,2.89329,2.86065,1.01141
2025-10-21#t6w6,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",Affordability and housing,145,0.324,193,2.30192,2.30123,1.0003
2025-10-21#t7w0,2025-10-21,,Affordability and housing,61,0.574,90,2.55792,2.7472,0.9311
2025-10-22#t8w0,2025-10-22,Hon. Ms. Thériault,Affordability and housing,178,0.0,260,2.59816,2.57183,1.01024
2025-10-22#t9w0,2025-10-22,Hon. Mr. Gauvin,Affordability and housing,212,0.0,294,2.49243,2.35513,1.0583
2025-10-22#t10w0,2025-10-22,Ms. Bockus,Affordability and housing,275,1.0,357,2.29375,2.18236,1.05104
2025-10-22#t11w0,2025-10-22,Mr. Coon,Affordability and housing,184,0.978,235,2.19419,2.35931,0.93001
2025-10-22#t12w0,2025-10-22,Mr. Doucet,Affordability and housing,153,0.0,194,3.2068,3.00517,1.06709
2025-10-22#t13w0,2025-10-22,Mr. Savoie,Affordability and housing,183,0.951,225,2.2771,2.28314,0.99735
2025-10-22#t14w0,2025-10-22,Ms. Mitton,Affordability and housing,132,1.0,170,1.91162,2.12779,0.89841
2025-10-22#t15w0,2025-10-22,Hon. Ms. Thériault,Affordability and housing,184,0.0,228,2.80175,2.82141,0.99303
2025-10-22#t16w0,2025-10-22,Mr. Savoie,Affordability and housing,131,1.0,159,2.17881,2.13714,1.0195
2025-10-22#t17w0,2025-10-22,Mr. Johnston,Affordability and housing,219,0.932,284,2.22177,2.23694,0.99322
2025-10-22#t18w0,2025-10-22,Mr. Russell,Affordability and housing,144,1.0,169,2.02661,2.27758,0.88981
2025-10-22#t19w0,2025-10-22,Mr. Coon,Affordability and housing,166,0.976,195,2.57008,2.57499,0.99809
2025-10-22#t20w0,2025-10-22,Ms. Sodhi,Affordability and housing,164,1.0,194,2.32507,2.29678,1.01232
2025-10-22#t21w0,2025-10-22,Mr. Oliver,Affordability and housing,135,0.97,165,2.69495,2.6796,1.00573
2025-10-22#t22w0,2025-10-22,Mr. Arseneault,Affordability and housing,146,0.596,187,2.17782,2.18301,0.99762
2025-10-22#t23w0,2025-10-22,Ms. Scott-Wallace,Affordability and housing,129,1.0,155,2.82978,2.59254,1.09151
2025-10-22#t24w0,2025-10-22,Mr. Doucet,Affordability and housing,99,0.0,126,2.69111,2.4739,1.0878
2025-10-22#t25w0,2025-10-22,Mr. Cullins,Affordability and housing,143,1.0,164,3.05469,2.68511,1.13764
2025-10-22#t26w0,2025-10-22,Mr. Mallet,Affordability and housing,120,0.0,146,2.73572,2.63465,1.03836
2025-10-22#t27w0,2025-10-22,Ms. S. Wilson,Affordability and housing,140,1.0,183,3.06069,3.07509,0.99532
2025-10-22#t28w0,2025-10-22,Mr. M. LeBlanc,Affordability and housing,56,1.0,71,2.86268,3.23466,0.885
