seg_id,date,speaker,n_words,orig_frac,n_tok,logppl,fastdetect_d,lrr
2025-10-24#t133w0,2025-10-24,Mr. Savoie,112,1.0,124,2.82503,0.66565,2.03255
2025-10-24#t134w0,2025-10-24,Hon. Ms. Holt,194,1.0,240,2.4671,-1.22758,2.12421
2025-10-24#t135w0,2025-10-24,Mr. Savoie,77,1.0,98,3.78743,-2.63132,1.75907
2025-10-24#t136w0,2025-10-24,Hon. Ms. Holt,158,0.0,184,2.79228,-1.44578,1.99154
2025-10-24#t137w0,2025-10-24,Mr. Savoie,73,1.0,85,3.27194,-2.01372,1.95074
2025-10-24#t138w0,2025-10-24,Hon. Mr. Dornan,143,1.0,184,2.4702,-0.33777,2.01094
2025-10-24#t139w0,2025-10-24,Mr. Austin,132,1.0,172,2.94331,-1.23382,1.90683
2025-10-24#t140w0,2025-10-24,Hon. Mr. Legacy,194,1.0,240,2.70181,-0.42019,2.03521
2025-10-24#t141w0,2025-10-24,Mr. Austin,161,1.0,196,2.67518,-0.01397,1.94335
2025-10-24#t142w0,2025-10-24,Hon. M. Legacy,92,0.0,110,2.84833,-1.25139,1.98132
2025-10-24#t143w0,2025-10-24,Mr. Austin,186,1.0,217,2.42843,-0.25199,2.08067
2025-10-24#t144w0,2025-10-24,Hon. Mr. Randall,102,1.0,112,2.77735,0.51473,2.08853
2025-10-24#t145w0,2025-10-24,Mr. Lee,163,1.0,199,2.91305,-1.54638,2.00398
2025-10-24#t146w0,2025-10-24,Hon. C. Johnson,135,1.0,158,2.688,-0.48242,1.95482
2025-10-24#t147w0,2025-10-24,Mr. Lee,182,1.0,211,2.92899,1.36544,1.97938
2025-10-24#t148w0,2025-10-24,Hon. C. Johnson,84,1.0,101,3.05886,0.76889,1.96443
2025-10-24#t149w0,2025-10-24,Mr. Lee,154,1.0,183,3.12751,-1.49315,1.92188
2025-10-24#t150w0,2025-10-24,Hon. C. Johnson,108,1.0,134,2.95356,-0.06395,2.04408
2025-10-24#t151w0,2025-10-24,Mr. Monahan,180,1.0,244,2.18977,1.57512,2.15705
2025-10-24#t152w0,2025-10-24,Hon. Mr. Randall,174,1.0,207,2.60026,-0.24982,2.04162
2025-10-24#t153w0,2025-10-24,Mr. Monahan,168,0.0,204,2.42845,-0.02489,2.12043
2025-10-24#t154w0,2025-10-24,Hon. Mr. Legacy,121,0.0,146,2.59536,0.29958,2.05406
2025-10-24#t155w0,2025-10-24,Mr. Ames,89,1.0,108,2.76387,0.43501,2.03499
2025-10-24#t156w0,2025-10-24,Hon. Mr. Gauvin,198,0.0,236,2.68495,-0.43346,2.06988
2025-10-24#t157w0,2025-10-24,Mr. Ames,82,1.0,105,2.96596,-0.8001,1.97777
2025-10-24#t158w0,2025-10-24,Hon. Mr. Gauvin,217,0.0,263,2.94191,-0.44091,1.94764
2025-10-24#t159w0,2025-10-24,Mr. Ames,55,1.0,67,2.64666,1.45181,1.98369
2025-10-24#t160w0,2025-10-24,Hon. Mr. Gauvin,127,0.0,157,2.96854,-1.41754,1.9228
2025-10-24#t161w0,2025-10-24,Madam Speaker,144,0.958,181,3.02319,1.16361,2.00343
2025-10-24#t162w0,2025-10-24,Hon. Mr. Legacy,206,0.073,245,1.80554,1.99328,2.29729
2025-10-24#t163w0,2025-10-24,Mr. Monahan,257,1.0,304,2.14632,1.4828,2.09501
2025-10-24#t164w0,2025-10-24,Mr. Coon,226,1.0,260,2.48265,-0.70967,2.04751
2025-10-24#t165w0,2025-10-24,Hon. Ms. Boudreau,184,0.451,225,2.36132,-0.39283,2.08972
2025-10-24#t166w0,2025-10-24,Ms. M. Johnson,296,1.0,354,2.33013,1.86901,2.14622
2025-10-24#t167w0,2025-10-24,Ms. Mitton,327,0.327,401,2.30732,1.48759,2.08293
2025-10-24#t168w0,2025-10-24,Ms. M. Wilson,157,1.0,209,2.7947,0.10526,1.9248
